,date,time,x-pid,x-status,x-ctx,x-comment,new,hello
124,2017-10-28,09:00:25,10124,(s)2641173,<09:00:25:553>,USER,"[poll:4702111235095740783,115.113.187.8,fmitslr1333]:",Polled from client. Printed only once in 100 polls.
125,2017-10-28,09:00:28,10124,(s)2641173,<09:00:28:111>,USER,"[disconnectPreviousConnections, Name:tpgitvtn1154: NewId:4702111234189771119: retryCounter:0: NewIP:218.248.19.66: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:16
126,2017-10-28,09:00:28,10124,(s)2641173,<09:00:28:112>,USER,[online_directory]:,"client connected. name:tpgitvtn1154 id:4702111234189771119,218.248.19.66"
127,2017-10-28,09:00:28,10124,(s)2641173,<09:00:28:235>,USER,"[setValue:users_so,tpgitvtn1154]:",Set shared object property
128,2017-10-28,09:00:31,10124,(s)2641173,<09:00:31:708>,USER,"[setValue:users_so,tpgitvtn1154]:",Set shared object property
129,2017-10-28,09:01:16,10124,(s)2641173,<09:01:16:299>,USER,"[poll:4702111235146072431,14.139.240.230,dauiimp1076]:",Polled from client. Printed only once in 100 polls.
130,2017-10-28,09:02:57,10124,(s)2641173,<09:02:57:025>,USER,"[disconnectPreviousConnections, Name:sxccectn1026: NewId:4702111234323988847: retryCounter:0: NewIP:103.78.159.78: NewMacAddress:44-8A-5B-C1-43-5A]:",Entered Function Current number of clients:17
131,2017-10-28,09:02:57,10124,(s)2641173,<09:02:57:025>,USER,[online_directory]:,"client connected. name:sxccectn1026 id:4702111234323988847,103.78.159.78"
132,2017-10-28,09:02:57,10124,(s)2641173,<09:02:57:131>,USER,"[setValue:users_so,sxccectn1026]:",Set shared object property
133,2017-10-28,09:03:04,10124,(s)2641173,<09:03:04:247>,USER,"[setValue:users_so,sxccectn1026]:",Set shared object property
134,2017-10-28,09:03:06,10124,(s)2641173,<09:03:06:913>,USER,"[poll:4702111234508538223,182.73.164.133,mitump1096]:",Polled from client. Printed only once in 100 polls.
135,2017-10-28,09:03:26,10124,(s)2641173,<09:03:26:658>,USER,"[poll:4702111234609201519,202.88.252.51,fistmk1077]:",Polled from client. Printed only once in 100 polls.
136,2017-10-28,09:03:37,10124,(s)2641173,<09:03:37:979>,USER,"[disconnectPreviousConnections, Name:msecstn1013: NewId:4702111234961523055: retryCounter:0: NewIP:115.249.38.16: NewMacAddress:74-46-A0-90-46-27]:",Entered Function Current number of clients:18
137,2017-10-28,09:03:37,10124,(s)2641173,<09:03:37:979>,USER,[online_directory]:,"client connected. name:msecstn1013 id:4702111234961523055,115.249.38.16"
138,2017-10-28,09:03:38,10124,(s)2641173,<09:03:38:040>,USER,"[setValue:users_so,msecstn1013]:",Set shared object property
139,2017-10-28,09:03:42,10124,(s)2641173,<09:03:42:280>,USER,"[setValue:users_so,msecstn1013]:",Set shared object property
140,2017-10-28,09:03:54,10124,(s)2641173,<09:03:54:489>,USER,[online_directory]:,OnDisconnect:fmitslr1333
141,2017-10-28,09:04:08,10124,(s)2641173,<09:04:08:892>,USER,[online_directory]:,OnDisconnect:sscetptn1211
142,2017-10-28,09:04:10,10124,(s)2641173,<09:04:10:532>,USER,"[disconnectPreviousConnections, Name:fmitslr1333: NewId:4702111234491761008: retryCounter:0: NewIP:115.113.187.8: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:17
143,2017-10-28,09:04:10,10124,(s)2641173,<09:04:10:533>,USER,[online_directory]:,"client connected. name:fmitslr1333 id:4702111234491761008,115.113.187.8"
144,2017-10-28,09:04:10,10124,(s)2641173,<09:04:10:643>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
145,2017-10-28,09:04:12,10124,(s)2641173,<09:04:12:934>,USER,"[setValue:users_so,fmitslr1333]:",Set shared object property
146,2017-10-28,09:04:17,10124,(s)2641173,<09:04:17:227>,USER,[online_directory]:,OnDisconnect:msecstn1013
147,2017-10-28,09:04:37,10124,(s)2641173,<09:04:37:271>,USER,"[disconnectPreviousConnections, Name:sgsitsimp1116: NewId:4702111234525315440: retryCounter:0: NewIP:14.139.250.94: NewMacAddress:78-AC-C0-9B-09-AE]:",Entered Function Current number of clients:17
148,2017-10-28,09:04:37,10124,(s)2641173,<09:04:37:272>,USER,[online_directory]:,"client connected. name:sgsitsimp1116 id:4702111234525315440,14.139.250.94"
149,2017-10-28,09:04:37,10124,(s)2641173,<09:04:37:333>,USER,"[setValue:users_so,sgsitsimp1116]:",Set shared object property
150,2017-10-28,09:04:39,10124,(s)2641173,<09:04:39:862>,USER,"[setValue:users_so,sgsitsimp1116]:",Set shared object property
151,2017-10-28,09:04:41,10124,(s)2641173,<09:04:41:641>,USER,"[disconnectPreviousConnections, Name:aitsrap1341: NewId:4702111234542092656: retryCounter:0: NewIP:43.225.21.162: NewMacAddress:00-00-00-00-00-00-00-E0]:",Entered Function Current number of clients:18
152,2017-10-28,09:04:41,10124,(s)2641173,<09:04:41:642>,USER,[online_directory]:,"client connected. name:aitsrap1341 id:4702111234542092656,43.225.21.162"
153,2017-10-28,09:04:41,10124,(s)2641173,<09:04:41:734>,USER,"[setValue:users_so,aitsrap1341]:",Set shared object property
154,2017-10-28,09:04:43,10124,(s)2641173,<09:04:43:010>,USER,"[setValue:users_so,aitsrap1341]:",Set shared object property
